SalesAmount,Promotion,HolidayMonth,lag_1,lag_5,lag_6,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,month,year,quarter
9089,0,0,9131.0,13011.0,12248.0,10314.666666666666,3287.4081482732454,11487.5,2456.180836176359,7,2020,3
10300,0,0,9089.0,12722.0,13011.0,8667.666666666666,766.4315581533206,10961.0,2595.201340936768,8,2020,3
10464,0,0,10300.0,14030.0,12722.0,9506.666666666666,687.3676842369938,10509.166666666666,2395.1973126794096,9,2020,3
13786,1,0,10464.0,7783.0,14030.0,9951.0,751.0039946631406,10132.833333333334,2141.9850061722336,10,2020,4
9969,0,0,13786.0,9131.0,7783.0,11516.666666666666,1967.010252472856,10092.166666666666,2053.6939807738313,11,2020,4
14534,0,1,9969.0,9089.0,9131.0,11406.333333333334,2075.660457139686,10456.5,1730.5942043124958,12,2020,4
12720,0,0,14534.0,10300.0,9089.0,12763.0,2448.4082584405724,11357.0,2235.1033980556713,1,2021,1
12724,0,0,12720.0,10464.0,10300.0,12407.666666666666,2298.4713035696855,11962.166666666666,1974.5896198113373,2,2021,1
12136,0,0,12724.0,13786.0,10464.0,13326.0,1046.160599525712,12366.166666666666,1807.3913153123995,3,2021,1
10468,0,0,12136.0,9969.0,13786.0,12526.666666666666,338.3331691296766,12644.833333333334,1568.574182710747,4,2021,2
10279,1,0,10468.0,14534.0,9969.0,11776.0,1170.2922711869874,12091.833333333334,1667.5498693192603,5,2021,2
7976,0,0,10279.0,12720.0,14534.0,10961.0,1021.9584140267142,12143.5,1591.699689011723,6,2021,2
8445,0,0,7976.0,12724.0,12720.0,9574.333333333334,1387.4193069628702,11050.5,1852.1993143287798,7,2021,3
9810,0,0,8445.0,12136.0,12724.0,8900.0,1217.0542305090592,10338.0,1903.0855997563515,8,2021,3
12031,0,0,9810.0,10468.0,12136.0,8743.666666666666,952.7803174569318,9852.333333333334,1501.9473581542907,9,2021,3
10937,0,0,12031.0,10279.0,10468.0,10095.333333333334,1809.9476051348367,9834.833333333334,1470.2956732122466,10,2021,4
10834,0,0,10937.0,7976.0,10279.0,10926.0,1110.5408592213062,9913.0,1522.2390088287673,11,2021,4
14696,0,1,10834.0,8445.0,7976.0,11267.333333333334,663.3568672542183,10005.5,1565.1840466858807,12,2021,4
16623,1,0,14696.0,9810.0,8445.0,12155.666666666666,2200.5959041435417,11125.5,2126.2420135064594,1,2022,1
14336,0,0,16623.0,12031.0,9810.0,14051.0,2947.905866882455,12488.5,2626.6076029738474,2,2022,1
13023,0,0,14336.0,10937.0,12031.0,15218.333333333334,1229.7220553171085,13242.833333333334,2337.5251371197483,3,2022,1
11537,0,0,13023.0,10834.0,10937.0,14660.666666666666,1821.8277452419406,13408.166666666666,2268.739510535905,4,2022,2
8800,0,0,11537.0,14696.0,10834.0,12965.333333333334,1400.390778794738,13508.166666666666,2148.0453828228815,5,2022,2
8273,0,0,8800.0,16623.0,14696.0,11120.0,2142.1598913246416,13169.166666666666,2734.8358207882784,6,2022,2
9199,0,0,8273.0,14336.0,16623.0,9536.666666666666,1752.2649152834547,12098.666666666666,3229.9238793920017,7,2022,3
12043,0,0,9199.0,13023.0,14336.0,8757.333333333334,464.47210178150794,10861.333333333334,2486.5459309384696,8,2022,3
11892,0,0,12043.0,11537.0,13023.0,9838.333333333334,1964.6336384510296,10479.166666666666,1967.8045041788714,9,2022,3
11121,0,0,11892.0,8800.0,11537.0,11044.666666666666,1600.1763444487392,10290.666666666666,1713.0726390514358,10,2022,4
11812,0,0,11121.0,8273.0,8800.0,11685.333333333334,494.5243505969462,10221.333333333334,1660.1417610152002,11,2022,4
15645,0,1,11812.0,9199.0,8273.0,11608.333333333334,423.9343502634947,10723.333333333334,1598.6470112775548,12,2022,4
13904,0,0,15645.0,12043.0,9199.0,12859.333333333334,2437.0729027530815,11952.0,2094.721938587557,1,2023,1
13901,0,0,13904.0,11892.0,12043.0,13787.0,1919.1766463772938,12736.166666666666,1701.8278898486453,2,2023,1
13534,0,0,13901.0,11121.0,11892.0,14483.333333333334,1006.0339623160492,13045.833333333334,1719.4235565056965,3,2023,1
